snapshot,relative_path,workspace_path,bytes,sha256,normalized_sha256,normalization
main,Drivers/CMSIS/Include/core_cm0.h,Drivers/CMSIS/Include/core_cm0.h,41259,1fedf79e11c6c7f7c02fc2c6d93add0f86b62fadbcb913daece240d97a70720c,1fedf79e11c6c7f7c02fc2c6d93add0f86b62fadbcb913daece240d97a70720c,utf-8 BOM/newlines normalized
main,Drivers/CMSIS/Include/core_cm0plus.h,Drivers/CMSIS/Include/core_cm0plus.h,49381,9fd6ebad79f26eeb25f5cba28fd87bedc9e13213cd44269b049cf1f379d5ab36,9fd6ebad79f26eeb25f5cba28fd87bedc9e13213cd44269b049cf1f379d5ab36,utf-8 BOM/newlines normalized
main,Drivers/CMSIS/Include/core_cm1.h,Drivers/CMSIS/Include/core_cm1.h,42480,1ca25034076f4952af4d235f2c4302bdc81d123cf55bc329d2fa964d9bc0ece1,1ca25034076f4952af4d235f2c4302bdc81d123cf55bc329d2fa964d9bc0ece1,utf-8 BOM/newlines normalized
main,Drivers/CMSIS/Include/core_cm23.h,Drivers/CMSIS/Include/core_cm23.h,102635,492e9eebccc634173a92826966c40c98061878daae73c67597e370a8def685f5,492e9eebccc634173a92826966c40c98061878daae73c67597e370a8def685f5,utf-8 BOM/newlines normalized
main,Drivers/CMSIS/Include/core_cm3.h,Drivers/CMSIS/Include/core_cm3.h,109913,655bb08e9474438dec8b1874ea6c63749dc2787b85f06a0987c4870bcb580f21,655bb08e9474438dec8b1874ea6c63749dc2787b85f06a0987c4870bcb580f21,utf-8 BOM/newlines normalized
main,Drivers/CMSIS/Include/core_cm33.h,Drivers/CMSIS/Include/core_cm33.h,172598,f4b8df5e3327f38497b1893c4b6d75ef9758a5443423f19b45f1ffe1f51ecffe,f4b8df5e3327f38497b1893c4b6d75ef9758a5443423f19b45f1ffe1f51ecffe,utf-8 BOM/newlines normalized
main,Drivers/CMSIS/Include/core_cm4.h,Drivers/CMSIS/Include/core_cm4.h,121478,53712d8aefacaebf3faa2370be8c7c6065328a974242f9e315ffc86b3ee852c5,53712d8aefacaebf3faa2370be8c7c6065328a974242f9e315ffc86b3ee852c5,utf-8 BOM/newlines normalized
main,Drivers/CMSIS/Include/core_cm7.h,Drivers/CMSIS/Include/core_cm7.h,145917,4e67355b28417febaa955120abd51fcdcf4d581c5e1522ece1e673c38cd17728,4e67355b28417febaa955120abd51fcdcf4d581c5e1522ece1e673c38cd17728,utf-8 BOM/newlines normalized
main,Drivers/CMSIS/Include/core_sc000.h,Drivers/CMSIS/Include/core_sc000.h,46227,cb3a0b87bdbb70f552773bc442fdacb6c59b06233b5f0d6b2e0e8f56fd561396,cb3a0b87bdbb70f552773bc442fdacb6c59b06233b5f0d6b2e0e8f56fd561396,utf-8 BOM/newlines normalized
main,Drivers/CMSIS/Include/core_sc300.h,Drivers/CMSIS/Include/core_sc300.h,108608,2a3ec02d4b947d6eb09a7b9860a4fbe9b9f45ee1a911f1674a424fd6d3faa683,2a3ec02d4b947d6eb09a7b9860a4fbe9b9f45ee1a911f1674a424fd6d3faa683,utf-8 BOM/newlines normalized
